,r5_Gangwon,r5_Gyeonggi,r5_Gyeongnam,r5_Gyeongbuk,r5_Gwangju,r5_Daegu,r5_Daejeon,r5_Busan,r5_Seoul,r5_Ulsan,r5_Incheon,r5_Jeonnam,r5_Jeonbuk,r5_Jeju,r5_Chungnam,r5_Chungbuk,r6_Gangwon,r6_Gyeonggi,r6_Gyeongnam,r6_Gyeongbuk,r6_Gwangju,r6_Daegu,r6_Daejeon,r6_Busan,r6_Seoul,r6_Sejong,r6_Ulsan,r6_Incheon,r6_Jeonnam,r6_Jeonbuk,r6_Jeju,r6_Chungnam,r6_Chungbuk,r7_Gangwon,r7_Gyeonggi,r7_Gyeongnam,r7_Gyeongbuk,r7_Gwangju,r7_Daegu,r7_Daejeon,r7_Busan,r7_Seoul,r7_Sejong,r7_Ulsan,r7_Incheon,r7_Jeonnam,r7_Jeonbuk,r7_Jeju,r7_Chungnam,r7_Chungbuk
r5_Jeonbuk,0.22909180192611645,0.2787742537053336,14.696492799057344,0.9237129572336533,0.05389457922307313,0.7237579939993615,0.44437330903758493,0.456911209929693,0.20909087233011583,0.40073918372764594,0.22236514351077583,0.01852574359697974,0.0,3.8960491014614154,0.17728517237012187,0.21258053296114265,0.2674816955846254,0.2941283693598795,0.09655929384958105,0.019719387152946723,1.6424105928324444,0.1626063403757793,0.26429635975951926,3.7761280403909634,0.4406720305723292,0.47485635535332515,3.680531225339308,0.2911101891015757,1.0234362614102062,0.5877658163816883,0.09054305146957213,0.2514099066020413,0.25256936944406516,0.5212011507087185,0.3048363623502386,0.26378098612828255,0.06776308361484774,1.4940468396704827,0.11895290436652305,0.3258763022653633,0.28873019241589654,0.44303257342766716,0.6792053231586175,0.2537226551393824,0.3249515557003921,1.6183743760933824,1.812444815630911,1.6748322957280959,0.4086886987229301,0.39277366254266977
r5_Jeju,1.5930371012516402,1.584985289839168,8.736522984843486,1.291553342650218,0.2909807279426633,1.3239659594551207,0.3431713270928902,2.236758079631474,1.3067360205996983,1.17791568569852,1.5585090558420744,0.4155240760757062,0.6116966943898929,0.0,0.2080412364214312,1.4559360316402716,1.588454924701816,1.760358772637125,1.1320959903668575,0.8108267080762626,1.2198950249102085,1.3839740678239003,1.5352601134371708,0.01911734227828607,2.1207871784756724,2.213151821251091,0.08594186388661595,1.7614063479502624,1.3169521929547066,1.1693845699918024,1.1386808212749762,1.3407810446309203,1.5050374597751563,2.057865186261226,1.1592172756558123,1.362924463370268,0.6904250756422887,1.778900349244382,1.1072896357158113,1.037538378205861,1.1914878995316442,0.7544393652966666,1.3078986810311028,1.182280616267752,1.255376248725704,1.535954643868907,1.509500704844532,1.0168455072536544,1.5785514718084075,1.1551204356592328
r5_Chungnam,0.7647421334241611,0.7547148175512002,8.735890187704662,0.6763725120360176,0.04850756639445028,0.650754030383997,0.08478527467579042,1.1974629397331928,0.5702989024887244,0.5027434880807328,0.741416866338312,0.13101466233388176,0.2085839528582183,3.508637565833111,0.0,0.6711558061196857,0.7575594887777808,0.874337230009214,0.4708977574581274,0.36506592811910676,0.8356670298102873,0.6297683281261537,0.7215235371896047,3.491954609609414,1.1181130560593644,1.181638740295001,3.5112069748379837,0.8753350982341441,0.7151594430771483,0.5303576246302384,0.47835588351175723,0.592082112165073,0.7015428654373054,1.080998841584608,0.47928551885407666,0.6067875617105111,0.19316250366205967,1.1036199509314888,0.44705453616257357,0.40697432908187126,0.4980421108809399,0.26468402788403683,0.631827058817714,0.48984676218737566,0.5415591027434176,0.9944925152721819,1.034368955014885,0.7622333610047111,0.7565604583722652,0.48762863140654455
r5_Chungbuk,0.0019494305184383012,0.005194563829605476,11.103373076753071,0.47421143405643773,0.3824286442726369,0.3066534093598633,0.4906556301990312,0.03689131773474621,0.004185778135159272,0.10720612042382514,0.0013211569791486584,0.3644374917329212,0.2236772019068658,10.01490573858074,0.4370192175085513,0.0,0.003129465015147331,0.005889503164500501,0.02285351741301263,0.273462607800896,1.1613254580578025,0.005695045701481081,0.003905985390000735,9.911847492030835,0.03417724385797541,0.042967081474246556,9.822482685141987,0.005699373648661105,0.5514579238336905,0.23724603301986485,0.02800794651623898,0.011800582005309585,0.0027668490048160335,0.07124945178221383,0.05607025632451909,0.013832172764381924,0.07892110938710062,0.8437171753043511,0.013319895934196226,0.0893513003794254,0.04335452516191352,0.24635659798998363,0.276033800015001,0.029401221260021735,0.05191111576603111,1.015410779666927,1.2050947101429494,1.3267246895764864,0.055751884553991424,0.10648515438366257
r6_Gangwon,0.0052621346367721184,0.00038615975596984604,10.455811780974184,0.42437276301330945,0.44689019254781726,0.2662878946116167,0.5060063832323165,0.01946987394792246,0.0055609719570395046,0.08891373212185799,0.004999019765631475,0.4346795399961669,0.27981036754016786,10.867380039664244,0.48705451507775,0.0031102167211212823,0.0,0.0020505107258804115,0.04270900176399964,0.3376690530041297,1.0910757274566478,0.01673317241757319,0.0003804924278550002,10.769611192276434,0.016810989895645258,0.022938777591712194,10.684402095736784,0.0023658559927446417,0.49676912667043605,0.2065157449105659,0.04979148146089922,0.007797815271618446,0.0004654641052337701,0.04451083950862353,0.04603394653197431,0.008469704024328707,0.10334277367070877,0.7620612008589599,0.02744306955623812,0.07832520846264132,0.0347864889959877,0.23338380723278804,0.2383262059777268,0.024507766444914085,0.03973512610019392,0.9335912150121024,1.1182450203994891,1.271786119000313,0.0363182680237526,0.0889872413103473
r6_Gyeonggi,0.0038246559913146594,0.003247327147978046,10.876356756573005,0.4688281190243522,0.4579414087486021,0.30098874612223864,0.5427411934287931,0.012826589698203113,0.01240279618064213,0.11135503927385548,0.0042414122266093614,0.4392580291709134,0.28280862693185904,10.740964494024855,0.508722610809187,0.005202478477221439,0.0018912892673087628,0.0,0.04532676750833006,0.33288909470226846,1.1648696654304627,0.01687959282317189,0.003837042790017186,10.637482174657766,0.013014530119031125,0.018336559823960447,10.546256509941777,3.422316068558054e-05,0.5449362520950248,0.2386180684919608,0.05142045828752766,0.016625731168248427,0.004055329030570149,0.0478820120291625,0.06357345276703057,0.01745896332303514,0.11633574965386792,0.8192444218414014,0.03328026707443843,0.10028606232782464,0.05045903585037382,0.2674747768045604,0.2713447084462355,0.03824456870430399,0.05578592399820706,1.001377446795729,1.1940010948096456,1.3473661104940609,0.04785078997675497,0.1115962374976617
r6_Gyeongnam,0.02624479262366544,0.04925515530963749,12.670131185495801,0.6183208108892025,0.23378706021889223,0.43025502666469473,0.46170787110080175,0.120347626765385,0.029297412840847345,0.17739550334058876,0.02425842651705709,0.20356193772848336,0.10200390806505888,7.798069291959006,0.32188604016119576,0.0229483768805017,0.04314748048211213,0.04995517756377166,0.0,0.13402454676320263,1.3451481435106554,0.008138619798100943,0.04415913352618137,7.683703918402738,0.11595321435530642,0.13241255726882573,7.586276671140592,0.04854211085666979,0.7067563495137608,0.3360526248115439,0.0004448475927248362,0.05046374141587589,0.03962078612279277,0.17464975409036354,0.1064517405794391,0.05610474056072596,0.0380779356177311,1.0674750717942034,0.004318165829918148,0.1400466534088477,0.09074832165555186,0.2958231926526564,0.39331462125746974,0.06784680070977556,0.10890924417940989,1.2339137108318528,1.432987057541267,1.467966269742701,0.1349075484024301,0.1744247383729798
r6_Gyeongbuk,0.22041583754036695,0.2907559988260735,16.729167600149182,1.1386664879298731,0.11302796225178934,0.8910114049888854,0.6268784440037357,0.4204068083153132,0.24146245727194507,0.5089776919416482,0.2171080918231093,0.045960607209049154,0.018268803165455733,3.3431530606709603,0.2879572553364508,0.22146183819917153,0.27478845837875365,0.28174219200027484,0.10959723956631083,0.0,2.0015747612135364,0.1625276590470206,0.27936071981997723,3.195268930081934,0.4183481030147569,0.4482754463109115,3.0700955582669374,0.27737068559224864,1.2564260368288678,0.7429662829518486,0.09883476025768032,0.2931764028062889,0.26841012611388393,0.5337056131528098,0.3894262408305788,0.3062258276467787,0.13288298639037494,1.7694511030127176,0.1474944332999805,0.4323906918859304,0.36415881350005885,0.6097682976764389,0.8383261249514183,0.31985041236314343,0.40193182794277815,1.9465599320499511,2.1798525941971776,2.0442979636936527,0.4625033535675115,0.501920219934555
r6_Gwangju,1.0123683653117288,0.9033580516126583,0.6519707732784046,0.1848219486042906,0.8107070006891339,0.29904848246519,0.25000751896653006,1.275604979064585,0.7569980198191463,0.4230352403190559,0.9890024162524966,0.9812248462626115,0.9333729688330781,12.436987907340212,0.5710342982673315,0.8987089750404128,0.9270838452842044,1.0574214106541422,0.8542524975071524,1.206283543984211,0.0,0.9423733192319563,0.8792477962621816,12.499761637037096,1.1821339167633511,1.224606278187586,12.589298673799153,1.0646499659714286,0.15860661508188784,0.28322205345761353,0.8850470200527538,0.7176592698496853,0.8701683430944156,1.0194352391437416,0.5029403764735121,0.7186643464039562,0.5663707250291604,0.24542825379127198,0.7595890716254766,0.3985175978495356,0.5451984427037355,0.17540527394884875,0.3139341516433839,0.5817425024248577,0.5526181859232755,0.08021223026040003,0.03147978852423812,0.062309101515195725,0.7221627088863275,0.4145780359945909
r6_Daegu,0.004972197273640984,0.02136416955042344,12.211791527016407,0.5751374881059615,0.3164152726149943,0.38907838304026704,0.5039370696401636,0.06267408027000057,0.015189097162895718,0.15351351056714982,0.0043358770524889265,0.28678717961774164,0.162824603867274,8.859963446615112,0.39635032312878277,0.00563613333502863,0.016526908104348106,0.01755244611501262,0.007651587907369806,0.19720004954817363,1.3076712670312227,0.0,0.018849825429837097,8.746396711912558,0.06179126726915398,0.0734115066471718,8.647755548628023,0.016534970911895902,0.6609998943108085,0.3057435759138609,0.009706007086578029,0.03093532454687293,0.01625076389631458,0.11550950704125607,0.0886572357420592,0.03479518848703557,0.06486978241664741,0.9934035635232318,0.007521393665695177,0.12614327832675776,0.07283684526399818,0.2937123105652612,0.3539720502742099,0.0529411476735248,0.08621143337998652,1.1723848130978554,1.3737559477179473,1.4548889045392988,0.0962185153797063,0.15189921983479793
r6_Daejeon,0.007744572931630877,0.00017921098308904763,10.206379355529034,0.4009152640008267,0.44856152101452396,0.24819319069470086,0.49156048919163725,0.02268333886699792,0.003995934070050958,0.07839914528476849,0.007192411156791165,0.4398676480286852,0.2845746290521348,10.998709324752799,0.48254886523193247,0.003918604822176368,0.0003871681331189432,0.004229843917727913,0.044654305211110225,0.3467525125315624,1.0521563281318906,0.01911027149016587,0.0,10.90406018449047,0.018692345855972292,0.024978496850998122,10.822019431528101,0.004718951617207288,0.47116807674929806,0.19043728277855532,0.052360364990030134,0.004855869049449402,0.00012352409165963243,0.04225234317727212,0.038503098573019715,0.005339650579596299,0.10079390719961685,0.7299985365333436,0.02740309476450244,0.06863662016881733,0.028253557229589055,0.21783891165929128,0.2212410382685016,0.019187353968335045,0.03272647030429051,0.8965366024525472,1.0770326908996568,1.233293269523821,0.030831382990984868,0.0784595666441507
r6_Busan,1.3111068292581158,1.325586857811629,10.894779257097907,1.3025185791959575,0.20672082771627784,1.2698304657534987,0.39261642247891015,1.879849355339548,1.0895825497770772,1.057823129154153,1.2827159707882319,0.28727705012047333,0.4484974608027318,0.01941839102495828,0.18821663919616058,1.202595047421957,1.32373347661814,1.4622508050083853,0.9091831131622082,0.5965266561226985,1.4392713210980557,1.127067047311053,1.2827388011543792,0.0,1.7872773235010921,1.8688904458320454,0.024038022962379724,1.4617848639912034,1.3507464571177143,1.1090017915654975,0.9106787121891703,1.1315014649077637,1.2555176292924375,1.768429313051031,1.0118641890271687,1.1528448247289518,0.559599052091488,1.8444555991377347,0.9017976929203956,0.9248477095043951,1.031136895752784,0.738045631948758,1.2441330517784082,1.0118105290319241,1.092493895589311,1.6880831770354614,1.7190469864424975,1.2747352149701547,1.367345950918703,1.0376405734359953
r6_Seoul,0.03005461116776526,0.012342917810431332,9.50380535397183,0.37706317433152425,0.5984024599698881,0.23077312201825134,0.5796882714519271,0.0006435356326969033,0.03215410933507881,0.08790031668823811,0.03095401426656349,0.5930399990722728,0.4098051434743913,12.451850722500037,0.6177639072608043,0.029877166415843384,0.014555956934177258,0.012590635968618681,0.10223698858849314,0.4780742469981612,1.023931465654775,0.05753926479024925,0.015219341931314606,12.360488602611127,0.0,0.0004354784865134107,12.279288897882715,0.01369580889999065,0.4425610204305932,0.18790688354416682,0.11238811884854191,0.025313957735271245,0.017762823425432152,0.01436585749756463,0.05771311075262538,0.0234624496956024,0.17866375497150477,0.6617053734477287,0.07803509453273588,0.09105285898213533,0.04805572037339131,0.25047595128281075,0.2068277037997067,0.043591031407480565,0.04627511890247313,0.840027120099962,1.0202886853471427,1.2354724098942909,0.025782785212073278,0.08962387066785951
r6_Sejong,0.03732760316905071,0.01675125636079381,9.278868113564439,0.36498684936437026,0.6257281588844333,0.2221986892104157,0.589701084326603,0.0011499677079368812,0.03849833665120769,0.08713147125640427,0.0383262825300328,0.6225201503323603,0.4346145204340717,12.747683778863749,0.6399000541001424,0.03696298055638485,0.019559273028022177,0.017489686876015275,0.11491201534343998,0.5058499427313569,1.004028461109783,0.06734546926979564,0.02003711438411435,12.65828599286672,0.0004286312955402421,0.0,12.57868126848666,0.018773620623300343,0.42873514599412726,0.18264659304696754,0.12574217522144815,0.02979025849119763,0.022985967473592606,0.01141383669911241,0.05987451112861521,0.027478011151357423,0.19251682836935025,0.6385448821825729,0.08868183214917108,0.09273330928498938,0.050771898663886136,0.25109432445143776,0.19920014674796008,0.04760307401875609,0.047770417485774645,0.8164532549762572,0.994760990463441,1.2206357891803477,0.025000749630151246,0.08911537601940112
r6_Ulsan,1.0414387151625895,1.081072530365033,13.349253148726914,1.3598291380960088,0.15772525371297036,1.254464763779881,0.4928845987333612,1.5264778244246162,0.892229073053059,0.9688251854621022,1.0198992053237268,0.18917573164385962,0.31137667587287365,0.08616576665199258,0.21115446551861514,0.9648430505289368,1.0732767134713508,1.1745224568132981,0.7054000292877429,0.40235864004284627,1.7292449619935861,0.8853340477005257,1.0459018583811905,0.02372738190556281,1.4600275015776691,1.5296379888899139,0.0,1.1723668771816043,1.4335425729431737,1.0866618315047902,0.7012141813872104,0.9429381347990173,1.0220314396287886,1.4903821987513002,0.89243350842984,0.9633883358118543,0.4586186276304119,1.9627086088532126,0.7174627530064944,0.8441129839019772,0.8971957785745733,0.7648135590584968,1.2180165910821283,0.8665728081700581,0.9557268653134836,1.9029836820393384,1.9980467303938363,1.6077039303104117,1.1766325650100362,0.9515593536169955
r6_Incheon,0.0032808587672489217,0.003784717861119882,10.96905418710909,0.4768709478527129,0.45307174316927956,0.3073672233477322,0.5443832944340212,0.013666993147298846,0.01273388843433177,0.1147458768973818,0.0037232636614247597,0.43332850621525565,0.2779878890132099,10.654968319164693,0.5060270788217278,0.004976733358746243,0.002198252692118716,3.422599816060368e-05,0.04367022950606552,0.3266954399507078,1.1772062830097825,0.015789793061895784,0.0043120297243877045,10.550533991024967,0.014092197659310437,0.019580259457371765,10.458430432250513,0.0,0.5537221356401146,0.24392654099079533,0.04950993445853963,0.017599615884450973,0.004433793868821569,0.05039513177997844,0.06581991040850296,0.018566378963723606,0.11515929712234699,0.8311733174041439,0.032402642237719784,0.10299577619491004,0.05241733049250915,0.2713877077087624,0.2773458998508197,0.03971444406683818,0.05809429972113306,1.0142225602905168,1.2079672794830214,1.358505511545297,0.050414375465243175,0.1149313331781607
r6_Jeonnam,0.47651992331418924,0.3768331880077344,2.1363774300596683,0.0018385174075882006,0.9418024580071123,0.027290367829749453,0.4323644487981734,0.4976513380018469,0.3425796950446716,0.11647237995350021,0.4670839157290535,1.0495956433074518,0.8692446581947338,16.258944349220542,0.7676777463030017,0.4193382668353628,0.3972972615341318,0.45749920474005296,0.5099540804722958,1.0752883495555356,0.14504233059925806,0.4908855186258757,0.37219397766703777,16.267762682709204,0.45138079676483844,0.4605115921180881,16.28980333946603,0.46392451198093576,0.0,0.041512018049371435,0.539057043168077,0.29527307181250934,0.37454808794869476,0.33570605126523156,0.17816098550613613,0.2886630883901784,0.4270524716456536,0.031371703675945696,0.424915553590609,0.13892380535641305,0.20082433981581732,0.10045525123601677,0.03459766691654117,0.23330217563465344,0.1872180324246652,0.03916698211309633,0.08342808013063241,0.3523108619091869,0.227711423737881,0.11676966514212901
r6_Jeonbuk,0.2594725229743672,0.18613851429391023,4.356151536102467,0.03171778045237613,0.7143825763273277,0.006556779681747154,0.363001044280668,0.2800494328557793,0.16223001532266085,0.021698044014690165,0.2525122028948059,0.7891095596039097,0.6166073357386762,14.646820331318821,0.599567304010273,0.21729665681587895,0.200814122394572,0.24521835622766047,0.29293732529511074,0.7817596260386651,0.31885937366623285,0.2725532631599894,0.18267930017211984,14.62625935973926,0.24565728819891064,0.25414091257163085,14.61881301601999,0.24994654316136647,0.050416007979881175,0.0,0.31591698800172274,0.12876689694390855,0.18433655683583886,0.16964679865238544,0.05436679889769998,0.12422818992643146,0.24884844706130171,0.14725124084936558,0.2272764654264648,0.03468103154930927,0.06769688135754451,0.049063753772273414,0.004084357535436317,0.0882897122417863,0.05937759956998738,0.19966635209375772,0.2825003744785867,0.5179086723921346,0.08837388619055606,0.021883329210301714
